a[m],e[prop],i[rad],r[rad],o[rad],t[rad]
7.159092399e+06,2.583100000e-03,1.292241778e+00,3.198073254e+00,4.382362927e+00,1.897944332e+00
7.161182636e+06,1.505300000e-03,1.292184182e+00,3.333947136e+00,3.408324342e+00,3.409596687e+00
7.096613938e+06,1.410600000e-03,1.292007904e+00,1.366250720e+00,2.403547018e+00,4.174628603e+00
7.150788880e+06,2.138700000e-03,1.292116114e+00,2.587860768e+00,4.096949234e+00,3.170805975e+00
7.127406547e+06,2.265600000e-03,1.292158002e+00,2.050292378e+00,3.289833939e+00,4.454834233e+00
7.157557321e+06,1.612000000e-03,1.292276685e+00,3.094161586e+00,3.986948113e+00,2.836193196e+00
7.137677958e+06,2.078900000e-03,1.292135313e+00,2.413446526e+00,1.457805456e+00,5.022507809e+00
6.898303764e+06,5.806100000e-03,1.291580298e+00,3.914703699e-01,1.639073607e+00,4.657786355e+00
7.152491579e+06,6.421200000e-03,1.294824865e+00,5.532344663e-02,3.279428286e+00,3.004017075e+00
7.419154931e+06,3.687800000e-02,1.292718253e+00,1.789554150e+00,4.265277514e+00,2.168784526e+00
7.031186804e+06,1.168700000e-03,1.292329045e+00,5.168129355e-01,5.652528035e-01,2.058598399e+00
7.134403820e+06,2.060000000e-03,1.292130077e+00,2.501706081e+00,3.486433062e+00,3.789849826e+00
7.031637589e+06,2.074540000e-03,1.289176980e+00,4.851062371e+00,3.613620440e+00,5.554400389e+00
7.310546216e+06,2.384240000e-02,1.292690328e+00,5.653501929e+00,1.086289436e+00,2.011926550e+00
7.124853976e+06,2.881200000e-03,1.294533395e+00,4.599186925e+00,1.364442559e+00,5.146094573e+00
7.465218852e+06,4.290906000e-02,1.289765156e+00,4.021557992e+00,4.931305628e+00,2.777558860e+00
7.176514007e+06,7.728200000e-03,1.291232978e+00,3.119339706e-01,2.676361179e+00,6.681120377e-02
6.915549005e+06,2.990930000e-03,1.292037575e+00,5.027036938e+00,6.133104445e+00,1.206078364e+00
7.077003686e+06,6.229820000e-03,1.292306355e+00,4.495299692e+00,5.687178057e+00,3.254498003e+00
7.121099653e+06,9.003800000e-03,1.292093425e+00,1.328893692e-02,1.823645666e+00,7.883861671e-01
7.002736885e+06,2.298780000e-03,1.292091680e+00,5.220101769e+00,6.045979354e+00,3.045646669e+00
7.077595599e+06,6.163800000e-03,1.292093425e+00,3.024873760e+00,5.965126976e+00,3.162327165e-01
6.918939383e+06,2.995400000e-03,1.288691778e+00,2.650369736e+00,4.005478273e+00,2.732932536e+00
6.685897977e+06,1.710960000e-03,1.290159600e+00,3.504621138e-01,3.053849716e+00,3.231793015e+00
7.335211836e+06,2.654240000e-02,1.289761665e+00,5.970706794e+00,5.951342366e+00,3.167510793e-01
6.883134262e+06,1.913100000e-03,1.292973071e+00,2.683932417e-01,5.709390862e+00,3.344661712e+00
7.161513717e+06,9.216110000e-03,1.294636370e+00,1.376562125e+00,4.878727585e+00,2.382592595e+00
6.852188378e+06,4.424200000e-03,1.292075972e+00,6.090518411e+00,6.258984572e+00,2.607172837e-02
7.225231338e+06,1.473287000e-02,1.292714762e+00,1.150535006e+00,1.663637371e+00,5.616205988e+00
7.274863173e+06,2.067420000e-02,1.288244974e+00,3.842883400e-01,2.360140680e+00,2.975873641e-01
7.035551516e+06,8.134800000e-03,1.291219015e+00,4.296311213e+00,3.433759025e+00,3.315132486e+00
7.095143286e+06,8.450470000e-03,1.292641459e+00,4.778608518e+00,5.241935838e+00,3.762875762e+00
7.121449718e+06,2.780800000e-03,1.292329045e+00,1.801471258e+00,2.868947790e+00,4.589104158e+00
7.013849281e+06,4.197100000e-03,1.292079463e+00,1.529079467e+00,3.403234962e+00,4.105421062e+00
7.065629674e+06,1.945540000e-03,1.292468671e+00,1.254514741e+00,1.447626696e+00,5.384995241e+00
7.061384744e+06,5.424390000e-03,1.292569900e+00,5.628428529e+00,6.193642935e+00,2.712128211e+00
7.003763093e+06,2.699700000e-03,1.291468597e+00,2.010867135e+00,5.327347016e+00,2.040722737e+00
7.100913226e+06,3.365610000e-03,1.291726906e+00,4.877430805e+00,2.175722210e+00,4.115039572e+00
7.108279634e+06,2.520100000e-03,1.292212108e+00,2.409304859e-01,2.097311548e+00,5.776027533e-01
7.056225361e+06,8.354100000e-03,1.292192909e+00,1.167454227e+00,2.830917065e+00,4.572027857e+00
7.143318873e+06,2.129200000e-03,1.292212108e+00,2.520826163e+00,3.746038571e+00,3.520533305e+00
7.127102020e+06,4.661800000e-03,1.292091680e+00,1.476672466e+00,3.102088871e+00,3.183498009e+00
7.156776706e+06,4.889720000e-03,1.292676365e+00,4.899067652e+00,4.972898570e+00,3.960855440e+00
7.121266820e+06,4.331100000e-03,1.292060264e+00,3.879339838e+00,4.608157917e+00,2.204998362e+00
7.191240936e+06,1.134160000e-02,1.288129782e+00,5.755877707e+00,6.059205459e+00,2.911189994e+00
7.557361670e+06,5.730290000e-02,1.287403725e+00,4.129171503e+00,2.540939337e+00,3.811432567e+00
7.205848781e+06,1.266780000e-02,1.287489247e+00,4.328433998e-01,3.308610191e+00,5.632002963e+00
7.065138035e+06,5.684920000e-03,1.292479143e+00,5.363429953e+00,6.094199310e+00,2.893741937e+00
7.075505162e+06,4.795800000e-03,1.291822899e+00,3.862916289e+00,6.153420077e+00,6.038525053e-01
6.864201686e+06,2.802100000e-03,1.287538116e+00,4.433087431e+00,2.963603976e-01,5.990542461e+00
7.150902188e+06,5.673900000e-03,1.289559207e+00,3.181105163e+00,9.420641530e-01,5.844474110e+00
7.076246070e+06,3.457100000e-03,1.292063755e+00,3.200399777e+00,3.552108056e+00,3.262571896e+00
7.164486163e+06,1.129452000e-02,1.292744433e+00,4.576277733e+00,5.252819711e+00,3.748070134e+00
7.244166639e+06,2.151890000e-02,1.288676071e+00,1.347633293e+00,1.530463513e+00,4.797674494e+00
7.016921918e+06,1.659700000e-03,1.293147604e+00,3.537328608e-01,5.063311861e+00,3.478608751e+00
