a[m],e[prop],i[rad],r[rad],o[rad],t[rad]
7.181337233e+06,1.136500000e-03,1.725645429e+00,2.208117266e+00,3.643908884e+00,2.640241590e+00
7.653597121e+06,5.644600000e-02,1.731675541e+00,1.821896846e+00,6.035348553e-01,5.983262693e+00
7.673568319e+06,6.075060000e-02,1.730856982e+00,5.887431899e+00,3.591252301e+00,5.634186370e+00
7.738056767e+06,7.058270000e-02,1.734686234e+00,5.625300899e+00,2.430161544e-01,6.074203073e+00
7.810965868e+06,7.208920000e-02,1.735040536e+00,3.925681820e+00,7.434997894e-01,6.085442994e+00
7.776277920e+06,7.033220000e-02,1.738019813e+00,4.317944569e-02,5.962400772e+00,2.969745790e+00
7.794466363e+06,8.618380000e-02,1.735202852e+00,3.719732968e+00,2.395026321e+00,4.013023332e+00
8.021497474e+06,9.727050000e-02,1.728778295e+00,4.369608061e+00,9.266581317e-01,5.507081022e+00
8.053350723e+06,1.027543000e-01,1.730771461e+00,4.756706381e+00,4.939931046e+00,1.566878063e+00
8.098564351e+06,8.129992000e-02,1.741098574e+00,5.485714701e+00,5.102274591e+00,1.035816259e+00
7.238467874e+06,3.708380000e-03,1.723460276e+00,1.503173545e+00,1.686968932e+00,5.122440126e+00
7.191006987e+06,8.787300000e-03,1.719753197e+00,1.485289156e+00,5.032082685e+00,2.408688758e+00
7.205279610e+06,3.512800000e-03,1.725804254e+00,2.830650030e+00,6.203057241e-01,6.228926511e+00
7.128688489e+06,2.166900000e-03,1.725317307e+00,3.101158611e+00,1.815173838e+00,4.953291541e+00
7.243148912e+06,1.300450000e-02,1.723783162e+00,1.039301682e+00,5.745824610e+00,5.261679003e-01
7.194362311e+06,2.048820000e-02,1.720700911e+00,7.056750138e-01,2.160384256e+00,6.526449298e-01
7.244533002e+06,1.270950000e-02,1.723880901e+00,6.405463075e-01,5.873987628e+00,3.304164837e+00
7.264414054e+06,5.760300000e-03,1.724858285e+00,1.315768816e+00,4.345522517e+00,4.833294919e+00
7.281208575e+06,1.473230000e-02,1.722479401e+00,8.714952554e-02,1.495160738e+00,1.274795467e+00
7.257156837e+06,3.269340000e-02,1.713991865e+00,3.211144024e-01,3.889377226e+00,5.300835464e+00
7.224143079e+06,9.129800000e-03,1.729579401e+00,2.045696926e+00,4.996189989e+00,1.271538683e+00
7.201248684e+06,6.250370000e-03,1.725055507e+00,2.352134854e+00,1.169211774e+00,5.579264349e+00
7.259799005e+06,1.373106000e-02,1.717177091e+00,4.584522669e+00,1.490038197e+00,1.163619739e+00
7.177355091e+06,4.778000000e-03,1.727788693e+00,3.753997272e+00,1.414957623e+00,5.398170731e+00
7.193979177e+06,4.926000000e-03,1.729361235e+00,3.255562654e-02,4.827620854e+00,4.305907034e+00
7.244971531e+06,2.465100000e-03,1.723762218e+00,1.465273720e+00,1.185340361e+00,5.315265847e+00
7.299292950e+06,9.304300000e-03,1.732595330e+00,2.030168731e+00,2.503971518e-01,8.790787110e-01
7.225467718e+06,6.232100000e-03,1.722235055e+00,1.193103586e+00,5.564333058e+00,7.127069454e-01
7.197763356e+06,4.167170000e-03,1.732745428e+00,5.991453523e+00,5.054862722e+00,1.222528092e+00
7.253240399e+06,7.163500000e-03,1.724664554e+00,8.999196876e-01,5.769363866e+00,3.392565764e+00
7.230569055e+06,5.186590000e-03,1.729507842e+00,1.984411434e+00,2.381501764e-02,9.952582980e-01
7.167217988e+06,6.110200000e-03,1.726968388e+00,5.937402421e+00,1.487505724e+00,5.903349302e-01
7.240465336e+06,7.892300000e-03,1.723212440e+00,1.300364541e+00,1.690422939e+00,1.001314590e+00
7.181337545e+06,3.883230000e-03,1.723961186e+00,2.286219004e+00,5.913295933e+00,8.445787877e-01
7.433926782e+06,2.974180000e-02,1.735845133e+00,4.174761248e+00,1.663246417e+00,5.226903317e+00
7.161753493e+06,7.581900000e-03,1.730539332e+00,1.002569482e+00,5.705968272e+00,5.710246074e-01
