a[m],e[prop],i[rad],Omega[rad],omega[rad],theta[rad]
7.275200437072671950e+06,2.225760943134941564e-02,1.503032156229502148e+00,2.152778378534660586e+00,1.601825498880897314e+00,6.285369007550888343e-01
6.983147376291803084e+06,1.267050618304038862e-03,1.507973155842912583e+00,2.531442276928332014e+00,6.207099988902647247e+00,1.155979425275382111e+00
7.061840671351345256e+06,1.467816104047320065e-03,1.508615252067253776e+00,2.819680801555733307e+00,4.301090582036787846e-01,3.590340718393849606e+00
6.917286377055388875e+06,1.684007011653088385e-03,1.507580360622421178e+00,1.084853260983184242e+00,1.835014962514257775e+00,1.491849196965301161e+00
7.200382634747157805e+06,1.192039157748724446e-02,1.504659299442992371e+00,3.870228019040336420e+00,1.157852301077722190e+00,2.029046022555039297e+00
7.121292065493269823e+06,2.868585168855253015e-03,1.507279283491490540e+00,3.292686818646674674e+00,1.662175576682799250e+00,6.755591924218991018e-01
7.113046387526940554e+06,6.990810534103409149e-03,1.505701364928401231e+00,4.161029897907429387e+00,1.891165267613462486e+00,6.766295893193431388e-01
7.043584886521577835e+06,7.871881912862432190e-04,1.508820336038875443e+00,2.562586342164158815e+00,6.057548624085574041e+00,3.998023394557741472e+00
7.135763106846605428e+06,1.154394106000965810e-03,1.508085373645038141e+00,2.352171622049076039e+00,3.223783076328868624e+00,4.418169831800528691e+00
7.091050095141607337e+06,3.828932975825391580e-03,1.507598684839948522e+00,3.239756679974814979e+00,9.611215132901715918e-01,3.201889060124213149e+00
7.030195257097180933e+06,1.900912756505329995e-03,1.507860012981613318e+00,1.251546723177250353e+00,1.475211316756051216e+00,1.170234098622661145e+00
7.114075183882870711e+06,2.020665631824034546e-03,1.508141149777173284e+00,3.083224121590160127e+00,1.882350129124269467e+00,8.293248461342700439e-01
7.064587027528993785e+06,2.640327835768899005e-03,1.507609254778456753e+00,3.229676017268707788e+00,1.215020208388562617e+00,3.547350569246493723e+00
7.020051310044115409e+06,1.387640512169449744e-03,1.509072641653353752e+00,2.553126597199623316e+00,6.081849123626293263e+00,2.300664578844975328e+00
6.798548221936810762e+06,2.407932883642770281e-03,1.507759943848188122e+00,2.881326480650493682e+00,6.127826876091416963e+00,4.144330313843188840e+00
7.047875469910547137e+06,5.056765359147909721e-03,1.506254567476709383e+00,3.558459351542450744e+00,4.834531596703015133e+00,2.704235138046778619e+00
7.165429084131856449e+06,7.619803423967737299e-03,1.506263651619924815e+00,2.368386996745409423e+00,4.716674043316461784e+00,9.811089057166317851e-01
6.909507175229533575e+06,5.657067397661207780e-04,1.508917189771143308e+00,2.000778733372791329e+00,2.076901648409732459e+00,4.224717834668480165e+00
7.143934443703691475e+06,6.421130177170166278e-03,1.507048625036112810e+00,1.885841777866573477e+00,5.613297342407426171e-01,5.922931002063017480e+00
7.121944699697148055e+06,3.983528429821056420e-03,1.508042571781206487e+00,2.168080985137483818e+00,2.612788362399800057e+00,5.624397474919013984e-01
7.143819605792674236e+06,1.940211860859640796e-03,1.507334369648066330e+00,3.108317175792208342e+00,3.257547256544434333e+00,5.470854972978763442e+00
7.125117583162263967e+06,3.673386641065087572e-03,1.508549582133825950e+00,2.356663383409429713e+00,1.386913865699933135e+00,1.302036622389712406e+00
7.099919818239235319e+06,3.235588052643639193e-03,1.507506244559416730e+00,3.166957462877470597e+00,1.796303023304279600e+00,5.283036410642937497e+00
7.214188092913431115e+06,1.125097757173115602e-02,1.506525014517459127e+00,5.334087162220082057e+00,4.315502425584708535e-01,2.147043911593602417e+00
7.091224435071811080e+06,3.563235074736421579e-03,1.507890358154497124e+00,2.493141062638194239e+00,2.036416127924070008e+00,4.175016614520748348e+00
7.004600315666508861e+06,1.924925637622619057e-03,1.509258475745628214e+00,2.633590905640585511e+00,1.652104368860106254e+00,7.424465761458686197e-01
7.115895647726961412e+06,5.922945041009090861e-03,1.508503985855233154e+00,2.506513481937746590e+00,1.305421786165231968e+00,3.364370946841470200e+00
6.962125871765970252e+06,3.795511268490387585e-03,1.509161462560766109e+00,1.598057358271037787e+00,1.056862300902541740e+00,3.198335778791208117e+00
7.210312259025997482e+06,2.323262567271853693e-02,1.511697999579996177e+00,1.689417313503106088e+00,2.394646780352021054e+00,5.058103764780718770e+00
7.189235378313806839e+06,6.903291325918698047e-03,1.505900147963439739e+00,3.184253541842780866e+00,4.183162495518509161e+00,2.258432054148529655e+00
6.884962420130437240e+06,1.808186925178587642e-03,1.508063242272482674e+00,9.250038456122621211e-01,1.805437605365932230e+00,9.778243482984427803e-01
7.146842406389486045e+06,7.624488007940596543e-03,1.505554318373655498e+00,4.039931393671253090e+00,1.762609788253169718e+00,5.416856662938431377e+00
7.071921845584220253e+06,1.327718658657780744e-03,1.508412741893705888e+00,2.866851755307464611e+00,2.641914932555677442e+00,4.461165865938653496e+00
7.118922650004295632e+06,3.022522346634697217e-03,1.507721668852206376e+00,3.086375937776551837e+00,1.561878607697411159e+00,3.282235130588571970e+00
7.142577799372290261e+06,1.848440002689126071e-03,1.508145074556475951e+00,2.885718827084333249e+00,2.034930912749749687e+00,1.112077164050526035e+00
7.124264264054183848e+06,1.968909040046893776e-03,1.507468976596180621e+00,2.423610582500969279e+00,3.492549629615740781e+00,1.431995736820434795e+00
7.032817120964669622e+06,1.680125606458075576e-03,1.508808289100815214e+00,1.504214811784820416e+00,2.745166162243994457e+00,5.215143678120188753e+00
7.257028576469127089e+06,2.057070824199856707e-02,1.509660422959052006e+00,7.733484935537348059e-01,2.990443257636876684e+00,2.431469309501902709e-01
7.200357447707638144e+06,1.684650997965305569e-02,1.503511309456884604e+00,4.708586120191245783e+00,1.793295754532837183e+00,5.116611881527425965e+00
7.082391028599048033e+06,1.619754674147176826e-03,1.509050773757218744e+00,2.014252181758039661e+00,4.373550453643777480e+00,2.009822989450035902e+00
7.086764028718629852e+06,2.121822674924919543e-03,1.508175498957022409e+00,2.954700901018110670e+00,7.124474896752955866e-01,3.512643669392215173e+00
6.966176657934913412e+06,1.672140583826259384e-03,1.509001210087634437e+00,1.568006191185539855e+00,1.694503402213262566e+00,5.622312698836561040e+00
7.113699433659646660e+06,9.631185525093144753e-03,1.505050796457791051e+00,2.917908275362740333e+00,2.080829694337637203e+00,3.895930198374055742e+00
6.903694171999754384e+06,2.697932827265360814e-04,1.507595406992138898e+00,7.449229247236147655e-01,1.968489614238299601e-01,2.163875905830353386e+00
7.141369716203610413e+06,2.938942613801368616e-03,1.507759359705427293e+00,2.853337356163333727e+00,2.146716910109907506e+00,4.606906675945765528e+00
6.992379556786488742e+06,9.318533104005380201e-04,1.507874540392125207e+00,2.849487072175886038e+00,3.893354960339824533e+00,2.800328310165447920e+00
7.092543348915350623e+06,1.549999018103903397e-03,1.507840911244669346e+00,3.177837809286190751e+00,5.355164247943864364e-01,9.872469611288652303e-01
7.041977406798293814e+06,2.184631548283648330e-03,1.508871573716867864e+00,1.622114192637256203e+00,2.440613840901907139e+00,1.330692417361279523e+00
7.055469454173423350e+06,3.807250849089905027e-03,1.509097611841424325e+00,1.798175690004514049e+00,3.134589501654114319e+00,4.255291934330627690e+00
7.121210910414679907e+06,1.186628681939934718e-02,1.504872474653251579e+00,2.583612199649831354e+00,3.917349034066682112e+00,3.584267841731074267e+00
6.949981658101837151e+06,1.701180237176929191e-03,1.509819168286869795e+00,2.058209161558929079e+00,5.228228211907958167e-01,2.128233501109069170e+00
7.141390631647010334e+06,3.193558453510011216e-03,1.507291664706486234e+00,3.258986900273933784e+00,2.445797434141951054e+00,7.662894864239343518e-01
7.110487272174101323e+06,2.882561315815092458e-03,1.508243188992912653e+00,2.471215390736110962e+00,9.906505344889566800e-01,3.197232887825994130e+00
7.133209325139837340e+06,2.696655493963110058e-03,1.508035317942420184e+00,2.638202886249592538e+00,1.431081718836807237e+00,3.621470282747241587e+00
7.100044109106780030e+06,1.068365420580183987e-02,1.504375963155484941e+00,3.384052257215242498e+00,2.591051383546946862e+00,3.786794570192146381e+00
7.123604926317450590e+06,2.647444948611668916e-03,1.507279965568669056e+00,3.361797078992046828e+00,1.656136610700294165e+00,5.377500858118080984e+00
7.149262946127074771e+06,6.351905426790083013e-03,1.506821727071289807e+00,2.890422428967876822e+00,6.170447498742441805e-01,5.502377900708422587e+00
7.099574836699639447e+06,1.519859567408701545e-03,1.508273933632567676e+00,2.738383271982931078e+00,4.251850318423888164e-01,1.358128085665108786e+00
6.993701237878469750e+06,2.200527387483081944e-03,1.509162519743209918e+00,2.324831223433069027e+00,2.644793157153836560e+00,5.332327817977905227e+00
7.011458554295800626e+06,4.725586238558346190e-03,1.509027947737647590e+00,1.406694801332985190e+00,1.175358489446364230e+00,3.835492185208932092e+00
7.037571651484947652e+06,1.759083697609549165e-03,1.509328558708350032e+00,2.162763620498168393e+00,2.182251579588507351e+00,4.194078115746195934e+00
7.092267874204481952e+06,3.187657263356359280e-03,1.508914960126420457e+00,2.211258960660090089e+00,2.008357020588617259e-01,4.114536952841520545e+00
7.171998893212887459e+06,1.566735406963939634e-02,1.507118025557480312e+00,6.021271471848001156e+00,2.849117823520658455e+00,5.882144075991742049e+00
7.007642917436474934e+06,1.239310656602580444e-03,1.506497828752619395e+00,8.709832390367130417e-01,6.178443455440265630e+00,3.938567046980979924e+00
7.070748205624901690e+06,6.556949748819130034e-04,1.508803448449235862e+00,2.521292586381260303e+00,3.047685012497032830e-01,6.252960425319975535e+00
7.106670395808030851e+06,2.254648390712931348e-03,1.508624054428550965e+00,2.656180996985098908e+00,7.779882718135195940e-01,1.203339893214214973e+00
6.918015175271727145e+06,6.122443617563119549e-03,1.505405737658720211e+00,4.609388440363954231e+00,1.241506324613549372e+00,2.979205578709181790e+00
7.212487862590192817e+06,1.659586362792324007e-02,1.503942679066370580e+00,2.722595608899403441e+00,2.921093243645996651e+00,5.773404354890554480e+00
7.052045879092996009e+06,2.523842015273396796e-03,1.509129559768989992e+00,1.791659216446194192e+00,2.427242845599355991e+00,3.082174524452634470e-02
7.033905898702196777e+06,2.841771507312602398e-03,1.509277934172500002e+00,1.902402097862636809e+00,2.228456514941347333e+00,6.046212203350762593e-01
7.052239798686919734e+06,8.588955441483933726e-04,1.509025443489321328e+00,1.978579707741292104e+00,2.891953484212501202e+00,3.446078614710754273e+00
7.137918218533284962e+06,3.140982478855613644e-03,1.507326313976242060e+00,3.293709876722574759e+00,1.887158772285226105e+00,1.216205359023772692e+00
7.032443811140167527e+06,2.047784625350386033e-03,1.509188418758396155e+00,2.658742796737064928e+00,3.118659412237448247e+00,4.137382350963703104e+00
7.031135002716919407e+06,2.373063183673834297e-03,1.509218350814391485e+00,2.130398487509891137e+00,2.998858046412649525e+00,4.268941795367506842e+00
7.013676119957387447e+06,4.850605003003280805e-03,1.506768744989638531e+00,2.176427144075617992e+00,6.416342204942764305e-01,1.934617505740465315e+00
7.023956441770364530e+06,3.374334072779215914e-03,1.509149629168268669e+00,2.116502859868016451e+00,2.335832538020343740e+00,2.654443304572686735e+00
7.115038695548632182e+06,3.457456418128286146e-03,1.507023055842215520e+00,3.599242315864695119e+00,1.890580112444744776e+00,4.046833045383008809e+00
6.980852175819581375e+06,4.541220605519200211e-03,1.509280184064909713e+00,1.657676935534437623e+00,1.270848125984139099e+00,3.437182091333653933e+00
