a[m],e[prop],i[rad],r[rad],o[rad],t[rad]
7.152899785e+06,7.436000000e-04,1.507709656e+00,6.582160208e-01,6.184904072e+00,1.002202963e-01
7.125289951e+06,8.851000000e-04,1.507980182e+00,5.199266029e-01,4.823746223e+00,1.459775933e+00
7.131010373e+06,1.115700000e-03,1.507362335e+00,3.231546923e-01,5.043947433e+00,4.042091790e+00
7.142003502e+06,1.321500000e-03,1.507967964e+00,8.763280721e-01,5.711975695e+00,3.398428325e+00
7.083530657e+06,8.251400000e-04,1.507648569e+00,6.390872122e-02,5.440610157e-01,5.742084370e+00
7.128602121e+06,9.338000000e-04,1.507018505e+00,6.265299173e+00,5.239858896e+00,3.704164631e+00
7.273639090e+06,2.114931000e-02,1.500995374e+00,5.551155822e+00,2.514513307e-01,2.410123419e+00
7.043157156e+06,1.166200000e-03,1.507725364e+00,6.197685118e+00,1.485814500e+00,1.361526113e+00
7.034590011e+06,4.861000000e-03,1.508177404e+00,9.531068512e-02,3.008373417e+00,5.974639021e+00
7.184479751e+06,1.114600000e-02,1.506182493e+00,1.085933389e+00,5.040463756e+00,4.027570651e+00
7.115887936e+06,1.886000000e-03,1.507536868e+00,4.730854564e-01,5.361607829e+00,3.599090574e+00
7.076069964e+06,5.380500000e-03,1.507648569e+00,1.309977814e+00,5.095225206e+00,4.027382156e+00
7.008216609e+06,1.441700000e-03,1.507467055e+00,5.882223837e+00,1.025524053e+00,1.127027166e+00
7.149391003e+06,1.467100000e-03,1.507645078e+00,6.389248966e-01,3.089878548e-01,2.532834028e+00
7.145538007e+06,6.828000000e-04,1.506376224e+00,5.795231391e+00,3.772843337e-01,2.849560672e+00
7.083547099e+06,1.404100000e-03,1.507728854e+00,3.877964518e-01,3.613997432e+00,5.332715648e+00
6.977701777e+06,2.049800000e-04,1.505342989e+00,4.455513166e+00,2.476039269e+00,6.056261088e+00
7.103896593e+06,6.685000000e-04,1.507878953e+00,2.589335572e-01,5.949110090e+00,3.057774962e+00
7.104042761e+06,5.499000000e-04,1.507086573e+00,6.044071709e+00,3.766602040e+00,2.518042362e+00
7.050988930e+06,1.113800000e-03,1.507746308e+00,3.397824441e-01,2.173842490e+00,4.786984353e-01
6.986955249e+06,1.013800000e-03,1.507599700e+00,5.857305771e+00,1.415167063e+00,7.622585882e-01
6.955029250e+06,3.942000000e-04,1.507720128e+00,6.235085778e+00,7.101029141e-01,1.963729283e+00
6.981366275e+06,3.572800000e-03,1.506959164e+00,5.831232297e-01,8.003905417e-01,5.490044863e+00
7.151752062e+06,8.300000000e-03,1.504515703e+00,5.749114556e+00,2.139550261e+00,4.159770615e+00
7.126756815e+06,5.077560000e-03,1.504657075e+00,5.248709461e+00,3.795515164e+00,2.483582582e+00
7.104921109e+06,2.725460000e-03,1.505953854e+00,5.546518482e+00,6.097110520e+00,2.842153495e+00
7.140921128e+06,3.004400000e-03,1.507149405e+00,3.013799646e-01,8.972039553e-01,5.392756720e+00
7.118022974e+06,1.878500000e-03,1.506770669e+00,5.783343953e+00,4.517048240e+00,4.424751738e+00
7.088019111e+06,1.744000000e-03,1.507463564e+00,3.089930908e-01,4.496823364e+00,4.446964544e+00
7.209767203e+06,1.002001000e-02,1.508598028e+00,2.682452378e+00,4.497842637e+00,4.665607175e+00
7.057614548e+06,2.284900000e-03,1.506217399e+00,5.827963296e+00,5.056288656e+00,1.224709753e+00
6.941653573e+06,6.449000000e-04,1.507851027e+00,5.904358102e+00,3.218085199e+00,6.149630967e+00
7.125563401e+06,2.872400000e-03,1.507069120e+00,5.954515374e+00,4.362293386e+00,4.580702143e+00
6.713989683e+06,4.770200000e-04,1.506360516e+00,4.704395372e+00,1.235696601e+00,5.050612845e+00
7.178700885e+06,1.889130000e-02,1.509189695e+00,5.332450358e+00,1.339592561e-01,3.733503616e-01
7.177500764e+06,8.194600000e-03,1.505863097e+00,3.728250175e-01,1.809063440e+00,8.427235027e-01
7.139893348e+06,6.204300000e-03,1.507372807e+00,1.253570518e+00,5.170101577e+00,1.104058633e+00
7.057074708e+06,5.975000000e-04,1.507653805e+00,6.258302148e+00,6.766362257e-01,5.609411421e+00
7.126325355e+06,3.286000000e-04,1.507533377e+00,2.818200596e-01,3.204749138e+00,6.209150186e+00
7.134273127e+06,4.445000000e-04,1.507407714e+00,7.825358234e-02,6.122735444e+00,1.623993962e-01
7.126130540e+06,3.652790000e-03,1.505871824e+00,5.827642155e+00,1.476368778e+00,8.075132303e-01
7.016636279e+06,1.450370000e-03,1.506320374e+00,4.790731575e+00,4.908125911e+00,4.026053960e+00
7.226592367e+06,1.768710000e-02,1.507802158e+00,4.407312408e+00,1.182352358e+00,5.135453300e+00
7.179726197e+06,1.321630000e-02,1.505850880e+00,1.919361268e+00,5.814079201e+00,4.593043366e-01
7.062147573e+06,2.988080000e-03,1.506760197e+00,5.371282189e+00,8.797209922e-01,1.771545843e+00
7.086196910e+06,1.175400000e-03,1.507629371e+00,9.474694377e-02,2.132020910e+00,5.338333863e-01
6.725872801e+06,4.814400000e-04,1.505993997e+00,4.659566591e+00,1.083510872e+00,5.202744470e+00
7.035839522e+06,6.054550000e-03,1.504177109e+00,6.180123615e+00,5.037617124e+00,3.908205838e+00
7.134303812e+06,1.613700000e-03,1.506976617e+00,2.822022868e-02,6.070827606e+00,2.868731369e+00
7.094227186e+06,1.763100000e-03,1.507875462e+00,3.432539040e-01,3.615112697e+00,5.331429341e+00
7.013302186e+06,1.540200000e-03,1.506343063e+00,4.900298109e+00,5.330471155e+00,3.988494474e+00
7.048330739e+06,2.555100000e-03,1.506700855e+00,5.136142705e+00,5.863709384e+00,1.528407515e+00
7.076876178e+06,8.088600000e-03,1.503285246e+00,5.838903019e+00,8.196677033e-01,1.370268468e+00
7.128779698e+06,2.138900000e-03,1.507458328e+00,4.550649319e-01,6.173819486e+00,6.214750947e-01
7.110224314e+06,6.736000000e-04,1.506713073e+00,5.891559603e+00,3.422042630e+00,2.862872299e+00
7.141242290e+06,1.042590000e-03,1.506843972e+00,6.101604742e+00,3.433910869e+00,2.850768440e+00
6.943474916e+06,3.075400000e-03,1.504595988e+00,3.032352496e-01,4.931478416e+00,1.347854949e+00
7.118580328e+06,1.422270000e-03,1.507702674e+00,6.478976343e-01,5.452159001e+00,8.310210700e-01
7.131532522e+06,5.305100000e-03,1.506065555e+00,2.733360142e-02,3.878046549e+00,5.111516110e+00
7.103111391e+06,1.164500000e-03,1.507280305e+00,6.169136767e+00,3.771764724e+00,2.512151876e+00
6.927256515e+06,1.158700000e-03,1.507243653e+00,5.594801270e+00,4.174174818e+00,2.109178041e+00
6.991763136e+06,2.672890000e-03,1.506580428e+00,4.668659756e+00,2.446770097e+00,3.841986301e+00
6.993946312e+06,7.349400000e-04,1.507175585e+00,5.465842382e+00,5.365093251e+00,9.190589682e-01
7.095099728e+06,2.943500000e-03,1.506981853e+00,5.652824741e+00,2.545133363e+00,3.743476427e+00
7.135432598e+06,1.320800000e-02,1.507791686e+00,3.262249010e+00,3.440026502e-01,5.950063039e+00
6.905731529e+06,6.085000000e-04,1.504356878e+00,3.970709569e+00,6.273357358e+00,5.129505218e-01
7.042507232e+06,1.422500000e-03,1.507266342e+00,5.882216855e+00,1.416161900e+00,4.871953962e+00
7.111695209e+06,1.472020000e-03,1.507451347e+00,6.115186895e+00,4.234135604e+00,2.422223786e+00
7.197283820e+06,1.540145000e-02,1.502814007e+00,6.222758518e+00,1.723549288e+00,4.784219751e+00
7.032167724e+06,1.982000000e-03,1.506685147e+00,5.110095412e+00,5.505714429e+00,7.768111435e-01
6.990749554e+06,9.214000000e-04,1.506803830e+00,5.175382943e+00,4.737095861e+00,1.546382661e+00
7.076798077e+06,1.205980000e-03,1.507079592e+00,6.086549532e+00,3.033980888e+00,3.251578067e+00
7.014972070e+06,1.310800000e-03,1.506669439e+00,5.278174109e+00,1.169754571e-01,6.168641094e+00
