a[m],e[prop],i[rad],r[rad],o[rad],t[rad]
7164040.5518,0.0019,1.5079,2.8765,0.8909,5.3923
6989199.3166,0.0030,1.5081,2.6417,2.1655,1.8687
7148540.2308,0.0025,1.5081,2.8457,1.0069,5.3600
7159283.7674,0.0017,1.5075,2.7557,0.8765,2.4102
7163255.1260,0.0020,1.5082,3.0286,1.0466,2.0850
7123773.3419,0.0020,1.5077,2.6863,3.2640,4.1132
7105550.2633,0.0057,1.5027,1.3450,3.1392,5.1329
7142543.1535,0.0033,1.5070,2.5723,0.9020,3.3631
7312321.2253,0.0256,1.5011,2.2211,2.1126,0.9441
7048230.6726,0.0019,1.5049,1.0898,2.3550,2.8958
7078633.3020,0.0010,1.5068,3.4273,3.8077,2.3719
6945287.2368,0.0021,1.5033,0.1315,6.0589,1.8640
7127598.3265,0.0058,1.5070,2.6333,0.4993,1.5864
